S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	M03	2022-08-03 08:25	2022-08-03 08:45	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
S0002	A1	2022-12-31 12:00	2022-12-31 14:35	Silver
S0001	A1	2022-12-25 08:30	2022-12-25 10:30	Platinum
S0001	A2	2022-12-25 08:45	2022-12-25 10:45	Gold
